data_index, predict_class, correct_class ,movie_num,,,,,,
906,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0307C.mp4,,,,,,
991,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0392C.mp4,,,,,,
1005,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0406C.mp4,,,,,,
1010,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0411C.mp4,,,,,,
1012,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0413C.mp4,,,,,,
1018,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0419C.mp4,,,,,,
1023,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0424C.mp4,,,,,,
1041,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0442C.mp4,,,,,,
1043,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0444C.mp4,,,,,,
1062,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0463C.mp4,,,,,,
1063,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0464C.mp4,,,,,,
1068,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0469C.mp4,,,,,,
1079,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0480C.mp4,,,,,,
1081,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0482C.mp4,,,,,,
1096,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0497C.mp4,,,,,,
1106,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0507C.mp4,,,,,,
1109,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0510C.mp4,,,,,,
1138,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0539C.mp4,,,,,,
1211,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0613C.mp4,,,,,,
1303,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0705C.mp4,,,,,,
1313,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0715C.mp4,,,,,,
1328,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0730C.mp4,,,,,,
1332,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0734C.mp4,,,,,,
1379,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0781C.mp4,,,,,,
1390,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0792C.mp4,,,,,,
1422,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0824C.mp4,,,,,,
1449,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0852C.mp4,,,,,,
1457,2,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0860C.mp4,,,,,,
1459,0,1,/mnt/nas/STAIR_Actions_v1.0/reading_newspaper/a060-0862C.mp4,,,,,,
1692,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0339C.mp4,,,,,,
1756,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0404C.mp4,,,,,,
1772,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0420C.mp4,,,,,,
1872,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0525C.mp4,,,,,,
1881,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0534C.mp4,,,,,,
1901,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0557C.mp4,,,,,,
1942,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0603C.mp4,,,,,,
1962,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0625C.mp4,,,,,,
2013,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0679C.mp4,,,,,,
2028,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0694C.mp4,,,,,,
2070,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0741C.mp4,,,,,,
2098,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0770C.mp4,,,,,,
2119,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0791C.mp4,,,,,,
2179,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0852C.mp4,,,,,,
2233,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0910C.mp4,,,,,,
2236,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0913C.mp4,,,,,,
2258,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0936C.mp4,,,,,,
2308,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-0988C.mp4,,,,,,
2345,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1025C.mp4,,,,,,
2351,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1031C.mp4,,,,,,
2395,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1079C.mp4,,,,,,
2441,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1126C.mp4,,,,,,
2551,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1240C.mp4,,,,,,
2589,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1278C.mp4,,,,,,
2598,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1288C.mp4,,,,,,
2606,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1296C.mp4,,,,,,
2625,0,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1316C.mp4,,,,,,
2628,1,2,/mnt/nas/STAIR_Actions_v1.0/bowing/a087-1319C.mp4,,,,,,
,,,,,,,,,
36,,,,correct class,predict class,all num,false num,sum,false rate
,,,,wriring,reading,,38,,24.051%
,,,,,boiwng,,17,,10.759%
,,,,,,158,,55,34.810%
,,,,reading,writing,,32,,16.000%
,,,,,bowing,,15,,7.500%
,,,,,,200,,47,23.500%
,,,,bowing,writing,,11,,3.618%
,,,,,reading,,17,,5.592%
,,,,,,304,,28,9.211%
,,,,,,662,,130,19.637%
,,,,,,,,,
,,,,,,,,,
,writing,reading,bowing,sum,,,,,
writing,0.000%,24.051%,10.759%,158,,,,,
reading,16.000%,0.000%,7.500%,200,,,,,
bowing,3.618%,5.592%,0.000%,304,,,,,
